filename,number,start.checkin,leave.table,start.voting,end.voting,get.in.line,leave.line,begin.scanning,end.scanning
dane wi (1),1,7:06:09,7:07:16,7:07:39,7:08:58,,,7:09:04,7:09:10
dane wi (1),1,16:01:20,16:02:09,16:02:17,16:05:59,16:06:05,16:06:07,16:06:07,16:06:15
dane wi (1),1,15:00:15,,15:02:21,15:05:58,15:06:35,15:06:44,15:06:49,15:07:01
dane wi (1),2,7:10:42,7:11:11,7:11:29,7:13:12,7:13:20,,7:13:20,7:13:22
dane wi (1),2,16:09:04,16:09:58,16:10:07,16:12:15,,,16:12:18,16:12:26
dane wi (1),2,15:13:16,15:14:00,15:14:22,15:16:57,,,15:17:04,15:17:41
dane wi (1),3,7:28:24,7:28:48,7:29:14,7:31:32,,,7:31:38,7:31:48
dane wi (1),3,16:13:20,16:13:49,16:13:56,16:15:54,16:15:57,16:16:06,16:16:07,16:16:16
dane wi (1),3,15:18:00,15:18:46,15:19:14,15:21:38,,,,
dane wi (1),4,7:33:39,7:34:30,7:34:45,7:38:17,,,7:38:20,7:38:31
dane wi (1),4,16:16:25,16:17:47,16:18:06,,,,,
dane wi (1),4,15:28:56,15:29:30,15:29:43,15:32:09,,,15:32:14,15:32:29
dane wi (1),5,7:54:30,7:55:35,7:55:42,7:59:15,,,7:59:30,7:59:36
dane wi (1),5,16:30:14,16:30:48,16:31:31,16:34:01,,,16:34:16,16:34:19
dane wi (1),5,15:32:50,15:34:04,15:34:26,15:35:09,15:38:13,15:38:24,15:38:24,15:38:36
dane wi (1),6,16:34:54,16:35:32,16:36:50,16:37:44,,,16:37:53,16:38:01
dane wi (1),6,15:40:37,15:41:31,15:41:51,15:44:51,,,15:45:01,15:45:13
dane wi (1),7,16:38:11,16:38:40,16:39:01,16:41:17,,,16:41:19,16:41:24
dane wi (1),7,15:45:37,15:46:16,15:46:35,15:53:17,,,15:53:30,15:53:37
dane wi (1),8,16:42:06,16:42:31,16:42:54,16:45:00,16:45:04,16:45:07,16:45:08,16:45:15
dane wi (1),8,6:06:56,6:07:28,6:07:50,6:11:04,6:11:14,6:11:20,6:11:26,6:11:30
dane wi (1),9,16:46:48,16:47:20,16:47:42,16:50:07,16:50:10,16:50:22,16:50:23,16:50:34
dane wi (1),9,6:11:49,6:12:31,6:13:06,6:47:48,,,6:47:55,6:48:00
dane wi (1),10,16:51:40,16:52:12,16:52:30,16:53:54,,,16:53:59,16:54:08
dane wi (2),1,12:06:17,12:07:13,12:07:31,12:10:39,12:10:48,12:10:51,12:11:07,12:11:11
dane wi (2),1,7:08:48,7:10:03,7:10:34,7:14:25,,,7:14:35,7:14:42
dane wi (2),1,6:06:40,6:07:42,6:08:11,6:10:50,,,6:11:00,6:11:10
dane wi (2),1,11:00:27,11:01:20,11:01:43,11:05:12,,,11:05:37,11:05:47
dane wi (2),2,12:13:08,12:14:10,12:14:31,12:17:50,12:17:58,12:18:06,12:18:09,12:18:16
dane wi (2),2,7:15:30,7:16:18,7:16:53,7:20:13,,,7:20:20,7:20:29
dane wi (2),2,,,6:21:09,6:24:38,,,6:24:49,6:24:56
dane wi (2),2,11:08:30,11:09:09,11:09:34,11:11:59,,,11:12:29,11:12:39
dane wi (2),3,12:19:13,12:20:01,12:20:14,12:23:01,12:23:08,12:23:17,12:23:20,12:23:30
dane wi (2),3,7:21:56,7:23:09,7:23:31,7:25:40,,,7:25:50,7:26:00
dane wi (2),3,6:25:35,6:27:23,6:27:47,6:32:04,,,6:32:10,6:32:19
dane wi (2),3,11:14:16,11:15:15,11:15:49,11:18:10,,,11:18:14,11:18:23
dane wi (2),4,12:24:28,12:25:26,12:27:04,12:31:29,12:31:36,12:31:38,12:31:39,12:31:45
dane wi (2),4,7:27:04,7:28:06,7:28:34,7:31:09,,,7:31:25,7:31:42
dane wi (2),4,6:33:39,6:34:14,6:34:52,6:37:06,,,,
dane wi (2),4,11:19:33,11:20:13,11:20:31,11:22:34,,,11:23:09,11:23:18
dane wi (2),5,7:32:47,7:34:52,7:35:44,7:37:26,,,7:37:36,7:37:45
dane wi (2),5,6:38:38,6:39:30,6:39:55,6:43:08,6:43:10,,6:43:25,6:43:36
dane wi (2),5,11:24:21,11:24:55,11:25:18,11:27:36,,,11:27:55,11:28:10
dane wi (2),6,12:35:04,12:36:02,12:36:14,12:39:11,,,12:39:25,13:39:35
dane wi (2),6,7:40:03,7:41:43,7:42:20,7:42:21,,,7:42:35,7:47:44
dane wi (2),6,18:44:36,18:45:46,18:46:14,,,18:50:48,18:50:49,18:50:55
dane wi (2),6,11:29:45,11:30:25,11:30:45,11:33:19,,,11:33:32,11:33:43
dane wi (2),7,12:41:03,12:42:09,12:42:28,12:45:25,,,12:45:35,12:45:40
dane wi (2),7,7:44:30,7:49:32,7:50:07,7:52:31,,,7:52:48,7:53:24
dane wi (2),7,,7:01:14,7:01:42,7:04:56,,,7:05:13,7:05:23
dane wi (2),7,11:36:07,11:36:51,11:37:00,11:41:27,11:42:06,11:42:34,11:42:41,11:42:51
dane wi (2),8,7:54:11,7:55:17,7:56:48,8:00:13,,,8:00:25,8:50:32
dane wi (2),8,11:43:55,11:44:44,11:45:06,11:47:31,,,11:47:40,11:47:45
dane wi (2),9,12:55:46,12:55:52,12:56:09,12:58:09,,,12:58:18,12:58:26
dane wi (2),9,11:48:50,11:50:44,11:51:16,11:56:08,,,11:56:16,11:56:24
dane wi (2),10,14:09:26,14:10:37,14:10:51,14:13:03,,,14:13:37,14:13:43
dane wi (2),10,11:58:39,11:59:27,11:59:50,12:01:31,,,12:01:42,12:01:52
dane wi (2),11,14:15:37,14:17:12,14:17:21,14:19:51,,,14:20:44,14:20:53
dane wi (2),11,13:00:57,13:01:12,13:02:34,13:06:11,,,13:06:22,13:06:28
dane wi (2),12,14:24:43,14:26:22,14:26:27,14:30:43,,,14:30:55,14:31:06
dane wi (2),12,13:07:08,13:08:08,13:08:30,13:11:31,,,13:11:43,13:11:54
dane wi (2),13,14:33:34,14:34:43,14:34:53,14:38:37,,,14:38:46,14:38:50
dane wi (2),13,13:12:40,13:13:22,13:15:55,13:17:09,,,13:17:27,13:17:35
dane wi (2),14,13:18:33,13:19:26,13:19:40,13:19:44,,,13:22:02,13:22:15
dane wi (2),15,14:45:20,14:47:08,14:47:17,14:49:59,,,14:50:06,14:50:14
dane wi (2),15,13:23:07,13:24:26,13:24:46,13:31:38,,,13:32:05,13:32:15
dane wi (2),16,14:51:56,14:53:29,14:53:39,14:56:12,14:56:19,14:56:24,14:56:27,14:56:32
dane wi (2),16,13:34:43,13:35:39,13:36:00,13:36:52,,,13:39:02,13:39:18
dane wi (2),17,14:57:19,14:59:04,14:59:10,15:00:59,15:01:07,15:01:15,15:01:21,15:01:32
dane wi (2),18,13:46:01,13:47:13,13:47:43,13:49:39,,,13:49:45,13:50:00
dane wi (2),19,13:51:14,13:52:26,13:52:45,13:54:05,,,13:54:17,13:54:24
dane wi (2),20,13:54:42,13:56:22,13:56:48,13:59:55,,,14:00:04,14:00:10
dane wi (3),1,12:52:58,12:53:10,12:53:18,12:56:02,,,12:56:08,12:56:20
dane wi (3),1,9:07:03,9:07:32,9:07:51,9:10:49,9:10:50,9:10:50,9:10:55,9:11:00
dane wi (3),2,12:56:34,12:57:11,12:57:13,13:00:16,,,13:00:22,13:00:31
dane wi (3),2,9:11:34,,,,,,,
dane wi (3),3,13:01:23,13:02:26,13:02:30,13:06:20,,,13:06:24,13:06:35
dane wi (3),3,9:12:14,9:13:59,9:14:03,9:14:04,9:14:12,9:17:12,9:17:17,9:17:17
dane wi (3),4,13:07:54,13:08:42,13:08:44,13:11:14,,,13:11:21,13:12:03
dane wi (3),4,9:17:32,9:18:45,9:18:52,9:21:48,9:21:52,9:21:52,9:21:55,9:21:57
dane wi (3),5,13:14:40,13:16:23,13:16:25,13:17:55,,,13:18:00,13:18:07
dane wi (3),5,9:23:37,9:24:24,9:24:28,9:27:15,9:27:20,9:27:20,9:27:30,9:27:35
dane wi (3),6,13:26:10,13:26:51,13:27:01,13:29:33,13:29:37,13:29:40,13:29:43,13:29:53
dane wi (3),6,9:28:12,9:28:55,9:29:00,9:31:22,9:31:26,9:31:26,9:31:30,9:31:36
dane wi (3),7,13:31:24,13:32:03,13:32:06,13:34:48,13:34:51,13:35:09,13:35:11,13:35:17
dane wi (3),7,9:31:59,9:32:05,9:32:11,9:34:22,9:34:25,9:34:25,9:34:30,9:34:35
dane wi (3),8,13:39:22,13:40:36,13:40:40,13:43:20,13:43:27,13:43:37,13:43:38,13:43:52
dane wi (3),8,9:34:52,,,,,,,
dane wi (3),9,13:45:47,13:46:33,13:46:38,13:49:03,13:49:07,13:49:26,13:49:30,13:49:52
dane wi (3),9,9:37:55,9:39:17,9:39:21,9:42:40,9:42:44,9:42:44,9:42:49,9:42:52
dane wi (3),10,13:50:17,13:51:19,13:51:29,13:53:00,,,13:53:09,13:53:15
dane wi (3),10,9:43:33,9:44:25,9:44:29,9:46:10,9:46:15,9:46:15,9:46:20,9:46:23
dane wi (3),11,13:54:06,13:54:46,13:54:50,13:58:17,,,13:58:21,13:58:25
dane wi (3),11,6:02:15,6:02:58,6:03:03,6:06:24,,,6:06:30,6:06:38
dane wi (3),11,9:47:02,9:47:56,9:48:01,9:49:09,9:49:15,9:49:23,9:49:25,9:49:32
dane wi (3),12,14:00:39,14:01:26,14:01:34,14:04:13,14:04:16,14:04:21,14:04:24,14:04:30
dane wi (3),12,6:07:01,6:07:42,6:07:49,6:10:39,,,6:11:06,6:11:11
dane wi (3),12,9:50:08,9:50:45,9:50:51,9:53:00,9:53:05,9:53:05,9:53:12,9:53:16
dane wi (3),13,14:05:36,14:06:22,14:06:24,14:09:18,14:09:23,14:09:32,14:09:34,14:09:40
dane wi (3),13,6:14:05,6:14:54,6:15:10,6:17:56,,,6:18:02,6:18:28
dane wi (3),13,9:54:44,9:55:28,9:55:31,9:58:13,9:58:16,9:58:16,9:58:20,9:58:26
dane wi (3),14,14:11:23,14:12:04,14:12:08,14:14:57,,,14:15:01,14:15:11
dane wi (3),14,6:21:20,6:21:54,6:22:06,6:24:26,,,6:24:30,6:24:38
dane wi (3),14,9:58:48,9:59:41,9:59:46,10:02:40,10:02:45,10:02:45,10:02:47,10:02:52
dane wi (3),15,14:16:00,14:17:20,14:17:24,14:21:50,14:21:55,14:22:00,14:22:04,22:22:12
dane wi (3),15,6:25:24,6:27:40,6:27:48,6:30:51,,,6:30:54,6:34:36
dane wi (3),15,10:04:19,10:05:13,10:05:17,10:08:27,,,10:08:32,10:08:38
dane wi (3),16,14:25:44,14:26:24,14:26:29,14:28:32,,,14:28:36,14:28:44
dane wi (3),16,6:36:04,6:39:04,6:39:08,6:39:45,,,6:39:52,6:39:57
dane wi (3),16,10:09:05,10:10:00,10:10:03,10:12:34,,,10:12:50,10:12:55
dane wi (3),17,14:30:12,14:31:08,14:31:13,14:35:24,,,14:35:27,14:35:36
dane wi (3),17,6:40:43,6:41:04,6:42:09,6:43:42,,,6:43:48,6:43:57
dane wi (3),17,10:13:47,10:14:31,10:14:35,10:15:50,10:15:55,10:16:23,10:16:25,10:16:30
dane wi (3),18,14:36:32,14:37:23,14:37:27,14:39:11,,,14:39:15,14:39:26
dane wi (3),18,6:45:15,6:46:23,6:46:26,6:52:32,,,6:52:45,6:52:56
dane wi (3),19,14:42:20,14:43:13,14:43:17,14:44:50,,,14:44:57,14:45:10
dane wi (3),19,10:17:40,10:18:28,10:18:32,10:20:34,,,10:20:37,10:20:42
dane wi (3),20,14:52:25,14:53:24,14:53:29,14:54:29,,,14:54:30,14:54:37
dane wi (3),20,10:24:15,10:25:03,10:25:08,10:26:23,10:26:26,10:27:01,10:27:07,10:27:12
dane wi (3),21,14:54:55,14:55:31,14:55:37,14:57:52,14:58:00,14:58:24,14:58:27,
dane wi (3),21,10:30:37,10:31:36,10:31:39,10:33:03,,,10:33:12,10:33:19
dane wi (3),22,10:33:32,10:34:23,10:34:34,10:37:01,,,10:37:10,10:37:22
dane wi (3),23,10:38:37,10:39:37,10:39:41,10:40:42,,,10:40:44,10:40:55
dane wi (3),24,10:42:48,10:43:05,10:43:07,10:45:17,10:45:23,10:45:28,10:45:30,10:45:33
dane wi (3),25,10:45:58,10:48:32,10:48:38,10:50:15,10:50:18,10:50:22,10:50:24,10:50:29
dane wi (3),26,10:50:41,10:51:35,10:51:39,10:56:19,,,10:56:36,10:56:42
dane wi (3),27,10:57:31,10:58:30,10:58:35,11:00:52,,,11:00:59,11:01:04
dane wi (3),36,7:09:09,7:10:36,7:10:38,7:11:35,,,7:11:44,7:11:47
dane wi (3),37,7:12:13,7:13:07,7:13:11,7:16:16,,,7:16:22,7:16:27
dane wi (3),38,7:21:16,7:22:47,7:22:51,7:24:43,,,7:24:48,7:24:53
dane wi (3),39,7:25:06,7:26:06,7:26:09,7:27:30,,,7:27:35,7:29:51
dane wi (3),40,7:36:40,7:39:45,7:39:50,7:39:52,,,7:39:57,7:40:01
dane wi (3),41,7:40:15,7:41:11,7:41:14,7:43:10,,,7:43:15,7:43:22
dane wi (3),42,7:43:30,7:44:48,7:44:55,7:46:24,7:46:30,7:46:35,7:46:37,7:46:41
dane wi (3),43,7:47:34,7:48:26,7:48:30,7:50:59,,,7:51:00,7:51:09
dane wi (4),1,7:03:12,7:03:30,7:03:32,7:08:39,7:08:49,7:08:54,7:08:55,7:08:58
dane wi (4),1,5:02:32,5:08:48,,,,,,
dane wi (4),2,7:09:30,7:09:59,7:10:50,,,,,
dane wi (4),2,5:05:36,5:06:24,5:06:51,5:10:24,,,5:10:37,5:10:45
dane wi (4),3,7:11:43,7:12:02,7:12:04,7:15:33,,,7:15:35,7:15:39
dane wi (4),3,5:11:00,5:12:00,5:12:14,5:14:38,,,5:15:01,5:15:08
dane wi (4),5,7:16:24,7:17:04,7:17:09,7:17:11,7:17:21,7:17:30,,
dane wi (4),5,5:17:17,5:18:17,5:18:45,5:20:50,,,5:26:47,5:27:06
dane wi (4),6,7:23:10,,,,,,,
dane wi (4),6,5:22:47,5:24:08,5:24:35,5:26:42,,,,
dane wi (4),7,7:25:54,7:26:54,7:27:01,7:28:49,,,7:29:12,7:29:22
dane wi (4),7,5:29:38,5:30:25,5:31:09,5:35:45,,,5:36:01,5:36:08
dane wi (4),8,7:29:58,7:30:30,7:30:38,7:33:10,,,7:33:18,7:33:26
dane wi (4),8,5:37:01,5:38:06,5:38:25,5:41:21,,,5:41:40,5:41:47
dane wi (4),9,7:34:19,7:35:09,7:35:30,7:40:14,,,7:41:33,7:41:45
dane wi (4),9,5:42:51,5:43:26,5:44:02,5:46:29,,,,
dane wi (4),10,7:42:09,7:42:46,7:42:59,7:45:40,7:45:45,7:45:52,7:45:52,7:46:02
dane wi (4),10,5:49:25,5:50:12,5:50:45,5:55:25,,,5:55:37,5:55:48
dane wi (4),11,7:47:23,7:48:19,7:48:35,7:52:14,7:52:17,7:52:46,7:52:46,7:53:00
dane wi (4),12,7:53:08,7:55:20,7:55:33,7:57:51,,,7:57:58,7:58:08
dane wi (4),13,7:58:26,7:59:21,7:59:39,8:01:28,8:01:35,8:02:00,8:02:05,8:02:11
dane wi (4),14,8:02:20,8:02:55,8:03:10,8:05:02,8:05:10,8:05:24,8:05:24,8:05:33
dane wi (4),15,8:06:05,8:06:43,8:07:01,8:09:48,,,8:09:55,8:10:10
dane wi (4),16,8:10:38,,,,,,,
dane wi (4),17,8:12:30,8:13:27,8:13:38,8:16:07,,,8:16:17,8:16:28
dane wi (4),18,8:16:56,,,,,,,
dane wi (4),19,8:19:30,8:20:22,8:20:38,8:22:32,,,8:22:47,8:22:59
dane wi (4),20,8:23:37,8:24:20,8:24:35,8:28:27,,,8:28:32,8:28:42
dane wi (4),21,8:24:18,8:30:08,8:30:23,8:31:52,8:32:02,8:32:08,8:32:08,8:32:16
dane wi (4),22,8:33:51,8:34:40,8:34:53,8:38:34,,,8:38:45,8:38:52
dane wi (4),23,8:39:51,8:41:02,8:41:14,8:42:30,,,8:42:38,8:42:46
dane wi (4),24,8:43:33,8:44:34,8:44:50,8:51:22,8:51:33,8:51:51,8:51:51,8:52:02
dane wi (4),25,8:53:54,8:54:33,8:54:40,8:57:58,,,8:58:08,8:58:17
dane wi (4),26,8:59:06,8:59:40,8:59:52,9:00:55,9:01:02,9:01:06,9:01:06,9:01:12
dane wi (4),27,9:02:30,9:03:21,9:03:34,9:06:22,,,9:06:30,9:06:41
dane wi (4),28,9:07:25,9:08:52,9:09:13,9:11:46,,,9:11:59,9:12:09
dane wi (4),29,9:13:00,9:13:53,9:14:06,  ,,,9:17:17,9:17:27
dane wi (4),30,9:18:24,9:19:05,9:19:20,9:21:55,,,9:22:04,9:22:13
dane wi (4),31,9:26:55,9:27:47,9:28:01,9:32:36,9:32:47,9:33:16,9:33:16,9:33:28
dane wi (4),32,9:33:53,9:34:48,9:35:02,9:39:30,9:39:34,9:39:44,9:39:44,9:39:52
dane wi (4),33,9:40:35,,,,,,,
dane wi (4),34,9:41:25,9:42:10,9:42:25,9:44:16,9:44:23,9:44:41,9:44:41,9:44:51
dane wi (4),35,9:51:06,9:51:39,9:51:54,9:56:27,9:56:39,9:57:11,9:57:11,9:57:20
dane wi (4),36,9:57:46,10:00:25,10:00:39,10:06:23,,,10:06:34,10:06:41
dane wi (4),37,10:07:34,10:08:27,10:08:43,10:12:00,10:12:11,10:12:15,10:12:17,10:12:24
dane wi (4),38,10:13:27,10:14:12,10:14:28,10:16:36,10:16:42,10:16:50,10:16:50,10:16:55
dane wi (4),39,10:20:18,10:21:08,10:21:26,10:24:18,,,10:24:45,10:25:07
dane wi (4),40,10:25:51,10:26:56,10:27:13,10:31:24,10:31:42,10:31:44,10:31:44,10:31:54
dane wi (4),41,10:32:23,10:33:48,10:34:15,10:37:28,10:37:46,10:37:59,10:37:59,10:38:09
dane wi (4),42,10:38:21,10:39:30,10:39:43,10:42:21,10:42:26,10:42:29,10:42:29,10:42:42
dane wi (4),43,10:43:05,10:44:53,10:45:26,10:47:25,,,10:47:30,10:47:36
dane wi (4),44,10:50:52,10:51:54,10:52:10,10:55:29,,,10:55:50,10:55:59
dane wi (4),45,10:56:25,10:57:20,10:57:44,11:00:04,11:00:10,11:00:40,11:00:40,11:00:52
dane wi (5),1,17:57:54,17:58:39,17:58:56,18:04:06,,,18:04:24,18:04:28
dane wi (5),1,19:00:25,19:01:22,19:01:49,19:03:32,19:03:39,19:03:40,19:03:40,19:03:52
